plant_species,plant_genera,plant_family,plant_order,plant_origin,animal_species,animal_genera,animal_family,animal_order,interaction_frequency,reference
Acaena_pinnatifida,Acaena,Rosaceae,Rosales,nativa,Scaeva_melanostoma,Scaeva,Syrphidae,Diptera,1,"Arroyo et al (1982), Arroyo et al (1985)"
Adesmia_aconcaguensis,Adesmia,Fabaceae,Fabales,nativa,Xeromelissa_sp,Chilimelissa,Colletidae,Hymenoptera,1,"Arroyo et al (1982), Arroyo et al (1985)"
Adesmia_aconcaguensis,Adesmia,Fabaceae,Fabales,nativa,Mourecotelles_sicheli,Mourecotelles,Colletidae,Hymenoptera,1,"Arroyo et al (1982), Arroyo et al (1985)"
Adesmia_aconcaguensis,Adesmia,Fabaceae,Fabales,nativa,Scaeva_melanostoma,Scaeva,Syrphidae,Diptera,1,"Arroyo et al (1982), Arroyo et al (1985)"
Adesmia_aconcaguensis,Adesmia,Fabaceae,Fabales,nativa,Villa_semifucata,Villa,Bombyliidae,Diptera,1,"Arroyo et al (1982), Arroyo et al (1985)"
Adesmia_aconcaguensis,Adesmia,Fabaceae,Fabales,nativa,Villa_semifucata,Villa,Bombyliidae,Diptera,1,"Arroyo et al (1982), Arroyo et al (1985)"
Adesmia_aegiceras,Adesmia,Fabaceae,Fabales,nativa,Alloscirtetica_gazullai,Alloscirtetica,Apidae,Hymenoptera,1,Vivallo (2003)
Adesmia_argentea,Adesmia,Fabaceae,Fabales,endemica,Alloscirtetica_rufitarsis,Alloscirtetica,Apidae,Hymenoptera,1,Vivallo (2003)
Adesmia_argntea,Adesmia,Fabaceae,Fabales,endemica,Alloscirtetica_rufitarsis,Alloscirtetica,Apidae,Hymenoptera,1,Vivallo (2003)
Adesmia_bijuga,Adesmia,Fabaceae,Fabales,endemica,Apis_melifera,Apis,Apidae,Hymenoptera,1,Gómez et al (2012)
Adesmia_bijuga,Adesmia,Fabaceae,Fabales,endemica,Bombus_dahlbomii,Bombus,Apidae,Hymenoptera,1,Gómez et al (2012)
Adesmia_bijuga,Adesmia,Fabaceae,Fabales,endemica,Bombus_ruderatus,Bombus,Apidae,Hymenoptera,1,Gómez et al (2012)
Adesmia_bijuga,Adesmia,Fabaceae,Fabales,endemica,Bombus_terrestris,Bombus,Apidae,Hymenoptera,1,Gómez et al (2012)
Adesmia_bijuga,Adesmia,Fabaceae,Fabales,endemica,Manuelia_gayatina,Manuelia,Apidae,Hymenoptera,1,Gómez et al (2012)
